lon,lat,elev,time
-74.0802841187,4.6573085785,2571,11:44:28
-74.0802841187,4.6573085785,2571,11:44:30
-74.0802841187,4.6573085785,2571,11:44:32
-74.0802841187,4.6573085785,2571,11:44:34
-74.0802841187,4.6573085785,2571,11:44:36
-74.0804977417,4.6572523117,2571,11:44:40
-74.0806121826,4.6572203636,2571,11:44:42
-74.0806808472,4.657201767,2571,11:44:44
-74.0807266235,4.6571874619,2571,11:44:46
-74.0807647705,4.657169342,2570,11:44:50
-74.0807647705,4.657169342,2570,11:44:53
-74.0807647705,4.657169342,2570,11:44:57
-74.0807647705,4.657169342,2570,11:44:58
-74.0807647705,4.657169342,2570,11:45:00
-74.0807647705,4.657169342,2570,11:45:02
-74.0807647705,4.657169342,2570,11:45:04
-74.0807647705,4.657169342,2570,11:45:06
-74.0807647705,4.657169342,2570,11:45:08
-74.0807800293,4.657043457,2570,11:45:15
-74.0807800293,4.657043457,2570,11:45:17
-74.0807800293,4.657043457,2570,11:45:19
-74.0807800293,4.6569318771,2569,11:45:23
-74.0807723999,4.6568684578,2569,11:45:25
-74.0807647705,4.6568193436,2569,11:45:29
-74.0807647705,4.6568193436,2569,11:45:31
-74.0807647705,4.6567664146,2568,11:45:33
-74.0807647705,4.6567664146,2568,11:45:35
-74.0807571411,4.6566967964,2568,11:45:39
-74.0807418823,4.6566500664,2568,11:45:41
-74.0807189941,4.6566028595,2568,11:45:49
-74.0806884766,4.6565594673,2568,11:45:53
-74.0806655884,4.656519413,2568,11:45:57
-74.0806655884,4.656519413,2568,11:45:59
-74.0806655884,4.656519413,2568,11:46:01
-74.0806655884,4.656519413,2568,11:46:03
-74.0806121826,4.6564683914,2569,11:46:07
-74.0805664063,4.6564354897,2569,11:46:11
-74.0805664063,4.6564354897,2569,11:46:13
-74.0805282593,4.65639925,2569,11:46:15
-74.0805130005,4.6563410759,2569,11:46:19
-74.0805053711,4.6562891006,2569,11:46:23
-74.0805130005,4.6562380791,2569,11:46:29
-74.0805511475,4.6562042236,2569,11:46:33
-74.0805511475,4.6562042236,2569,11:46:35
-74.0805511475,4.6562042236,2569,11:46:37
-74.0805511475,4.6562042236,2569,11:46:39
-74.0805511475,4.6562042236,2569,11:46:41
-74.0806427002,4.656182766,2569,11:46:45
-74.080696106,4.6561703682,2569,11:46:47
-74.080696106,4.6561703682,2569,11:46:49
-74.080696106,4.6561703682,2569,11:46:51
-74.080696106,4.6561703682,2569,11:46:53
-74.0807723999,4.6561570168,2569,11:46:57
-74.0808258057,4.6561512947,2569,11:46:59
-74.080871582,4.6561422348,2569,11:47:01
-74.0809249878,4.6561226845,2569,11:47:07
-74.0809707642,4.6561050415,2569,11:47:11
-74.0810089111,4.6560721397,2569,11:47:15
-74.0810470581,4.6560406685,2569,11:47:17
-74.0810775757,4.6560015678,2569,11:47:19
-74.0811080933,4.655960083,2569,11:47:21
-74.0811309814,4.6559195518,2569,11:47:23
-74.0812072754,4.6558480263,2568,11:47:25
-74.0813140869,4.6557912827,2568,11:47:29
-74.0814056396,4.6557435989,2568,11:47:33
-74.08152771,4.6557507515,2568,11:47:37
-74.0816192627,4.6557559967,2568,11:47:41
-74.0817184448,4.6557779312,2569,11:47:45
-74.0818252563,4.6557655334,2569,11:47:49
-74.0819320679,4.655755043,2569,11:47:53
-74.0820465088,4.6556911469,2569,11:47:59
-74.0820465088,4.6556911469,2569,11:48:01
-74.0820465088,4.6556911469,2569,11:48:03
-74.0820465088,4.6556911469,2569,11:48:05
-74.0820465088,4.6556911469,2569,11:48:07
-74.0820465088,4.6556911469,2569,11:48:09
-74.0820465088,4.6556911469,2569,11:48:11
-74.0820465088,4.6556911469,2569,11:48:13
